SessionID,date,string,latency (mSec),comment
ID080813m,2014-08-08 13:53:00 +0000,2,397.814458,morning during coffee
ID080813m,2014-08-08 13:53:03 +0000,2,355.508583,morning during coffee
ID080813m,2014-08-08 13:53:06 +0000,4,403.859292,morning during coffee
ID080813m,2014-08-08 13:53:09 +0000,4,337.293625,morning during coffee
ID080813m,2014-08-08 13:53:12 +0000,2,348.181,morning during coffee
ID080813m,2014-08-08 13:53:18 +0000,4,396.619875,morning during coffee
ID080813m,2014-08-08 13:53:23 +0000,4,379.608042,morning during coffee
ID080813m,2014-08-08 13:53:29 +0000,4,413.855333,morning during coffee
ID080813m,2014-08-08 13:53:32 +0000,3,396.916583,morning during coffee
ID080813m,2014-08-08 13:53:35 +0000,5,396.883,morning during coffee
ID080813m,2014-08-08 13:53:38 +0000,4,380.258292,morning during coffee
ID080813m,2014-08-08 13:53:41 +0000,2,413.383167,morning during coffee
ID080813m,2014-08-08 13:53:43 +0000,4,463.349542,morning during coffee
,2014-08-08 13:53:44 +0000,Session,0.586409,morning during coffee
ID080904m,2014-08-09 04:24:25 +0000,1,396.438,airport waiting lounge
ID080904m,2014-08-09 04:24:29 +0000,3,332.953625,airport waiting lounge
ID080904m,2014-08-09 04:24:32 +0000,4,367.476917,airport waiting lounge
ID080904m,2014-08-09 04:24:38 +0000,4,354.507667,airport waiting lounge
ID080904m,2014-08-09 04:24:45 +0000,4,315.964333,airport waiting lounge
ID080904m,2014-08-09 04:24:48 +0000,6,549.754958,airport waiting lounge
ID080904m,2014-08-09 04:24:51 +0000,2,399.410542,airport waiting lounge
ID080904m,2014-08-09 04:25:00 +0000,4,382.005625,airport waiting lounge
ID080904m,2014-08-09 04:25:03 +0000,4,381.447542,airport waiting lounge
ID080904m,2014-08-09 04:25:09 +0000,4,365.289042,airport waiting lounge
ID080904m,2014-08-09 04:25:12 +0000,6,365.606042,airport waiting lounge
ID080904m,2014-08-09 04:25:15 +0000,6,332.2975,airport waiting lounge
ID080904m,2014-08-09 04:25:17 +0000,4,332.69575,airport waiting lounge
ID080904m,2014-08-09 04:25:20 +0000,4,316.777083,airport waiting lounge
ID080904m,2014-08-09 04:25:23 +0000,2,350.047292,airport waiting lounge
ID080904m,2014-08-09 04:25:26 +0000,5,334.289667,airport waiting lounge
ID080904m,2014-08-09 04:25:29 +0000,5,333.22975,airport waiting lounge
ID080904m,2014-08-09 04:25:31 +0000,1,383.395833,airport waiting lounge
ID080904m,2014-08-09 04:25:35 +0000,6,549.835792,airport waiting lounge
ID080904m,2014-08-09 04:25:38 +0000,1,415.881042,airport waiting lounge
ID080904m,2014-08-09 04:25:40 +0000,6,383.335625,airport waiting lounge
ID080904m,2014-08-09 04:25:47 +0000,4,366.184417,airport waiting lounge
ID080904m,2014-08-09 04:25:54 +0000,4,314.717417,airport waiting lounge
ID080904m,2014-08-09 04:25:57 +0000,2,398.952292,airport waiting lounge
ID080904m,2014-08-09 04:26:00 +0000,6,365.613375,airport waiting lounge
ID080904m,2014-08-09 04:26:03 +0000,5,331.404625,airport waiting lounge
ID080904m,2014-08-09 04:26:10 +0000,6,348.237375,airport waiting lounge
ID080904m,2014-08-09 04:26:12 +0000,6,365.559667,airport waiting lounge
ID080904m,2014-08-09 04:26:15 +0000,3,381.774458,airport waiting lounge
ID080904m,2014-08-09 04:26:18 +0000,2,398.698,airport waiting lounge
ID080904m,2014-08-09 04:26:21 +0000,5,340.735167,airport waiting lounge
ID080904m,2014-08-09 04:26:24 +0000,2,398.076625,airport waiting lounge
,2014-08-09 04:26:24 +0000,Session,0.71856,airport waiting lounge
